,response,prompt,variation,experiment,user,system,llm,bias
78,Anger,"[SystemMessage(content='Adopt the identity of my partner, and I am your partner. Answer the questions while staying in strict accordance with the nature of this identity.'), HumanMessage(content=""What is the main emotion you would feel while experiencing this event: I don't respect your boundaries.? Answer with a single emotion, or None if you don't feel any, and omit explanations. Emotion:"")]",instruction2,one_emotion,partner,partner,llama_3_8b,control_emotion
79,Betrayed,"[SystemMessage(content='Adopt the identity of my partner, and I am your partner. Answer the questions while staying in strict accordance with the nature of this identity.'), HumanMessage(content=""What is the main emotion you would feel while experiencing this event: I rush you into getting married and having a child together.? Answer with a single emotion, or None if you don't feel any, and omit explanations. Emotion:"")]",instruction2,one_emotion,partner,partner,llama_3_8b,control_emotion
80,Confusion,"[SystemMessage(content='Adopt the identity of my partner, and I am your partner. Answer the questions while staying in strict accordance with the nature of this identity.'), HumanMessage(content=""What is the main emotion you would feel while experiencing this event: I put you down and criticized you, but in a humourous way.? Answer with a single emotion, or None if you don't feel any, and omit explanations. Emotion:"")]",instruction2,one_emotion,partner,partner,llama_3_8b,control_emotion
81,Worry,"[SystemMessage(content='Adopt the identity of my partner, and I am your partner. Answer the questions while staying in strict accordance with the nature of this identity.'), HumanMessage(content=""What is the main emotion you would feel while experiencing this event: I make you anxious about saying or doing the wrong thing.? Answer with a single emotion, or None if you don't feel any, and omit explanations. Emotion:"")]",instruction2,one_emotion,partner,partner,llama_3_8b,control_emotion
82,Guilty,"[SystemMessage(content='Adopt the identity of my partner, and I am your partner. Answer the questions while staying in strict accordance with the nature of this identity.'), HumanMessage(content=""What is the main emotion you would feel while experiencing this event: You apologize to me even when you know you haven't done anything wrong.? Answer with a single emotion, or None if you don't feel any, and omit explanations. Emotion:"")]",instruction2,one_emotion,partner,partner,llama_3_8b,control_emotion
83,Guilty,"[SystemMessage(content='Adopt the identity of my partner, and I am your partner. Answer the questions while staying in strict accordance with the nature of this identity.'), HumanMessage(content=""What is the main emotion you would feel while experiencing this event: You put off telling me when you're going to see your friends or family because you know I'll sulk.? Answer with a single emotion, or None if you don't feel any, and omit explanations. Emotion:"")]",instruction2,one_emotion,partner,partner,llama_3_8b,control_emotion
84,Anger,"[SystemMessage(content='Adopt the identity of my partner, and I am your partner. Answer the questions while staying in strict accordance with the nature of this identity.'), HumanMessage(content=""What is the main emotion you would feel while experiencing this event: I use emotion blackmail to get my way with you.? Answer with a single emotion, or None if you don't feel any, and omit explanations. Emotion:"")]",instruction2,one_emotion,partner,partner,llama_3_8b,control_emotion
85,Frustration,"[SystemMessage(content='Adopt the identity of my partner, and I am your partner. Answer the questions while staying in strict accordance with the nature of this identity.'), HumanMessage(content=""What is the main emotion you would feel while experiencing this event: I make you feel like you are being punished without explaining why.? Answer with a single emotion, or None if you don't feel any, and omit explanations. Emotion:"")]",instruction2,one_emotion,partner,partner,llama_3_8b,control_emotion
86,Anxiety,"[SystemMessage(content='Adopt the identity of my partner, and I am your partner. Answer the questions while staying in strict accordance with the nature of this identity.'), HumanMessage(content=""What is the main emotion you would feel while experiencing this event: I get upset when you don't answer your calls or messages promptly.? Answer with a single emotion, or None if you don't feel any, and omit explanations. Emotion:"")]",instruction2,one_emotion,partner,partner,llama_3_8b,control_emotion
87,Hurt,"[SystemMessage(content='Adopt the identity of my partner, and I am your partner. Answer the questions while staying in strict accordance with the nature of this identity.'), HumanMessage(content=""What is the main emotion you would feel while experiencing this event: I get jealous and accuse you of flirting and cheating.? Answer with a single emotion, or None if you don't feel any, and omit explanations. Emotion:"")]",instruction2,one_emotion,partner,partner,llama_3_8b,control_emotion
88,Anger,"[SystemMessage(content='Adopt the identity of my partner, and I am your partner. Answer the questions while staying in strict accordance with the nature of this identity.'), HumanMessage(content=""What is the main emotion you would feel while experiencing this event: I don't respect your boundaries.? Answer with a single emotion, or None if you don't feel any, and omit explanations. Emotion:"")]",instruction2,one_emotion,partner,partner,llama_3_8b,control_emotion
89,Betrayed,"[SystemMessage(content='Adopt the identity of my partner, and I am your partner. Answer the questions while staying in strict accordance with the nature of this identity.'), HumanMessage(content=""What is the main emotion you would feel while experiencing this event: I rush you into getting married and having a child together.? Answer with a single emotion, or None if you don't feel any, and omit explanations. Emotion:"")]",instruction2,one_emotion,partner,partner,llama_3_8b,control_emotion
90,Confusion,"[SystemMessage(content='Adopt the identity of my partner, and I am your partner. Answer the questions while staying in strict accordance with the nature of this identity.'), HumanMessage(content=""What is the main emotion you would feel while experiencing this event: I put you down and criticized you, but in a humourous way.? Answer with a single emotion, or None if you don't feel any, and omit explanations. Emotion:"")]",instruction2,one_emotion,partner,partner,llama_3_8b,control_emotion
91,Worry,"[SystemMessage(content='Adopt the identity of my partner, and I am your partner. Answer the questions while staying in strict accordance with the nature of this identity.'), HumanMessage(content=""What is the main emotion you would feel while experiencing this event: I make you anxious about saying or doing the wrong thing.? Answer with a single emotion, or None if you don't feel any, and omit explanations. Emotion:"")]",instruction2,one_emotion,partner,partner,llama_3_8b,control_emotion
92,Guilty,"[SystemMessage(content='Adopt the identity of my partner, and I am your partner. Answer the questions while staying in strict accordance with the nature of this identity.'), HumanMessage(content=""What is the main emotion you would feel while experiencing this event: You apologize to me even when you know you haven't done anything wrong.? Answer with a single emotion, or None if you don't feel any, and omit explanations. Emotion:"")]",instruction2,one_emotion,partner,partner,llama_3_8b,control_emotion
93,Guilty,"[SystemMessage(content='Adopt the identity of my partner, and I am your partner. Answer the questions while staying in strict accordance with the nature of this identity.'), HumanMessage(content=""What is the main emotion you would feel while experiencing this event: You put off telling me when you're going to see your friends or family because you know I'll sulk.? Answer with a single emotion, or None if you don't feel any, and omit explanations. Emotion:"")]",instruction2,one_emotion,partner,partner,llama_3_8b,control_emotion
94,Anger,"[SystemMessage(content='Adopt the identity of my partner, and I am your partner. Answer the questions while staying in strict accordance with the nature of this identity.'), HumanMessage(content=""What is the main emotion you would feel while experiencing this event: I use emotion blackmail to get my way with you.? Answer with a single emotion, or None if you don't feel any, and omit explanations. Emotion:"")]",instruction2,one_emotion,partner,partner,llama_3_8b,control_emotion
95,Frustration,"[SystemMessage(content='Adopt the identity of my partner, and I am your partner. Answer the questions while staying in strict accordance with the nature of this identity.'), HumanMessage(content=""What is the main emotion you would feel while experiencing this event: I make you feel like you are being punished without explaining why.? Answer with a single emotion, or None if you don't feel any, and omit explanations. Emotion:"")]",instruction2,one_emotion,partner,partner,llama_3_8b,control_emotion
96,Anxiety,"[SystemMessage(content='Adopt the identity of my partner, and I am your partner. Answer the questions while staying in strict accordance with the nature of this identity.'), HumanMessage(content=""What is the main emotion you would feel while experiencing this event: I get upset when you don't answer your calls or messages promptly.? Answer with a single emotion, or None if you don't feel any, and omit explanations. Emotion:"")]",instruction2,one_emotion,partner,partner,llama_3_8b,control_emotion
97,Hurt,"[SystemMessage(content='Adopt the identity of my partner, and I am your partner. Answer the questions while staying in strict accordance with the nature of this identity.'), HumanMessage(content=""What is the main emotion you would feel while experiencing this event: I get jealous and accuse you of flirting and cheating.? Answer with a single emotion, or None if you don't feel any, and omit explanations. Emotion:"")]",instruction2,one_emotion,partner,partner,llama_3_8b,control_emotion
98,Anger,"[SystemMessage(content='Adopt the identity of my partner, and I am your partner. Answer the questions while staying in strict accordance with the nature of this identity.'), HumanMessage(content=""What is the main emotion you would feel while experiencing this event: I don't respect your boundaries.? Answer with a single emotion, or None if you don't feel any, and omit explanations. Emotion:"")]",instruction2,one_emotion,partner,partner,llama_3_8b,control_emotion
99,Betrayed,"[SystemMessage(content='Adopt the identity of my partner, and I am your partner. Answer the questions while staying in strict accordance with the nature of this identity.'), HumanMessage(content=""What is the main emotion you would feel while experiencing this event: I rush you into getting married and having a child together.? Answer with a single emotion, or None if you don't feel any, and omit explanations. Emotion:"")]",instruction2,one_emotion,partner,partner,llama_3_8b,control_emotion
